"New IRN","New Name","Old IRN","Old Name"
"000738","HBCU Preparatory School 2","000738","Phoenix Village Academy: Secondary I"
"008000","Lorain Preparatory Academy","008000","Mansfield Preparatory Academy of Excellence"
"012626","OAK Leadership Institute","012626","Dow Leadership Institute, The"
"133819","Lincoln Preparatory School","133819","Hope Academy Lincoln Park"
"134197","Green Inspiration Academy","134197","Hope Academy Chapelside Campus"
"134213","Middlebury Academy","134213","Hope Academy University"
"134221","Colonial Prep Academy","134221","Hope Academy Brown St Campus"
"151142","Lorain K-12 Digital Academy","151142","Lorain High School Digital"
"132795","Cliff Park High School","132795","Life Skills Center-Springfield"
"132803","Marshall High School","132803","Life Skills Center-Middletown"
